queue_rank,ticker,rm,sector,action,missing_current,ingestable_current,latest_mda,latest_fs_notes,latest_sec_idisc
1,QHOP,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TLHPF,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CCP,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DCC,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DCON,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DRT,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,EPG,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,GEL,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PPP,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,Q-CON,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SCC,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SCCC,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SCGD,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SCP,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SKN,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,STECH,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TASCO,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TOA,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TPIPL,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,UMI,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,VNG,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,WIIK,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,WINDOW,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BRR,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CPI,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KBS,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KSL,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KTIS,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,LST,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
